"","sample_id","filename"
"1","AGQ631","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_A10_AGQ631-H1-P73.mzML.gz"
"2","AGQ995","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_A11_AGQ995-H1-P81.mzML.gz"
"3","AGP897","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_A12_AGP897-H1-P89.mzML.gz"
"4","AGQ006","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_A1_AGQ006-H1-P1.mzML.gz"
"5","AGP982","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_A2_AGP982-H1-P9.mzML.gz"
"6","AGN543","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_A3_AGN543-H1-P17.mzML.gz"
"7","AGP891","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_A4_AGP891-H1-P25.mzML.gz"
"8","AGQ893","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_A5_AGQ893-H1-P33.mzML.gz"
"9","AGQ003","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_A6_AGQ003-H1-P41.mzML.gz"
"10","AGO065","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_A7_AGO065-H1-P49.mzML.gz"
"11","AGQ509","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_A9_AGQ509-H1-P65.mzML.gz"
"12","AGO007","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_B10_AGO007-H1-P74.mzML.gz"
"13","AGQ191","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_B11_AGQ191-H1-P82.mzML.gz"
"14","AGQ992","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_B12_AGQ992-H1-P90.mzML.gz"
"15","AGN782","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_B1_AGN782-H1-P2.mzML.gz"
"16","AGQ638","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_B2_AGQ638-H1-P10.mzML.gz"
"17","AGQ190","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_B3_AGQ190-H1-P18.mzML.gz"
"18","AGQ897","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_B4_AGQ897-H1-P26.mzML.gz"
"19","AGO248","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_B5_AGO248-H1-P34.mzML.gz"
"20","AGQ508","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_B6_AGQ508-H1-P42.mzML.gz"
"21","AGP520","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_B7_AGP520-H1-P50.mzML.gz"
"22","AGQ895","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_B8_AGQ895-H1-P58.mzML.gz"
"23","AGP989","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_B9_AGP989-H1-P66.mzML.gz"
"24","AGN529","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_C10_AGN529-H1-P75.mzML.gz"
"25","AGP990","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_C11_AGP990-H1-P83.mzML.gz"
"26","AGQ002","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_C12_AGQ002-H1-P91.mzML.gz"
"27","AGP996","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_C1_AGP996-H1-P3.mzML.gz"
"28","AGQ499","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_C2_AGQ499-H1-P11.mzML.gz"
"29","AGQ428","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_C3_AGQ428-H1-P19.mzML.gz"
"30","AGQ633","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_C4_AGQ633-H1-P27.mzML.gz"
"31","AGQ009","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_C5_AGQ009-H1-P35.mzML.gz"
"32","AGP985","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_C6_AGP985-H1-P43.mzML.gz"
"33","AGN534","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_C7_AGN534-H1-P51.mzML.gz"
"34","AGN502","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_C8_AGN502-b-H1-P59.mzML.gz"
"35","AGN502","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_C8_AGN502-H1-P59.mzML.gz"
"36","AGP514","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_C9_AGP514-H1-P67.mzML.gz"
"37","AGP509","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_D10_AGP509-H1-P76.mzML.gz"
"38","AGQ993","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_D11_AGQ993-H1-P84.mzML.gz"
"39","AGP505","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_D12_AGP505-H1-P92.mzML.gz"
"40","AGN504","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_D1_AGN504-H1-P4.mzML.gz"
"41","AGQ502","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_D2_AGQ502-H1-P12.mzML.gz"
"42","AGN784","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_D3_AGN784-H1-P20.mzML.gz"
"43","AGO496","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_D4_AGO496-H1-P28.mzML.gz"
"44","AGO251","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_D5_AGO251-H1-P36.mzML.gz"
"45","AGP508","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_D6_AGP508-H1-P44.mzML.gz"
"46","AGQ494","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_D7_AGQ494-H1-P52.mzML.gz"
"47","AGQ629","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_D8_AGQ629-H1-P60.mzML.gz"
"48","AGP986","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_D9_AGP986-H1-P68.mzML.gz"
"49","AGO001","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_E10_AGO001-H1-P77.mzML.gz"
"50","AGN999","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_E11_AGN999-H1-P85.mzML.gz"
"51","AGQ010","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_E12_AGQ010-H1-P93.mzML.gz"
"52","AGP507","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_E1_AGP507-H1-P5.mzML.gz"
"53","AGP995","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_E2_AGP995-H1-P13.mzML.gz"
"54","AGQ432","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_E3_AGQ432-H1-P21.mzML.gz"
"55","AGP512","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_E4_AGP512-H1-P29.mzML.gz"
"56","AGQ894","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_E5_AGQ894-b-H1-P37.mzML.gz"
"57","AGO250","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_E6_AGO250-b-H1-P45.mzML.gz"
"58","AGO004","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_E7_AGO004-H1-P53.mzML.gz"
"59","AGQ176","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_E8_AGQ176-H1-P61.mzML.gz"
"60","AGN533","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_E9_AGN533-H1-P69.mzML.gz"
"61","AGP987","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_F10_AGP987-H1-P78.mzML.gz"
"62","AGQ505","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_F11_AGQ505-H1-P86.mzML.gz"
"63","AGN531","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_F12_AGN531-H1-P94.mzML.gz"
"64","AGQ007","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_F1_AGQ007-H1-P6.mzML.gz"
"65","AGQ193","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_F2_AGQ193-H1-P14.mzML.gz"
"66","AGQ988","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_F3_AGQ988-H1-P22.mzML.gz"
"67","AGQ503","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_F4_AGQ503-H1-P30.mzML.gz"
"68","AGP890","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_F5_AGP890-H1-P38.mzML.gz"
"69","AGO252","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_F6_AGO252-b-H1-P46.mzML.gz"
"70","AGP994","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_F7_AGP994-H1-P54.mzML.gz"
"71","AGQ012","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_F8_AGQ012-H1-P62.mzML.gz"
"72","AGN994","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_F9_AGN994-H1-P70.mzML.gz"
"73","AGQ990","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_G10_AGQ990-H1-P79.mzML.gz"
"74","AGQ433","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_G11_AGQ433-H1-P87.mzML.gz"
"75","AGQ896","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_G12_AGQ896-b-H1-P95.mzML.gz"
"76","AGQ068","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_G1_AGQ068-H1-P7.mzML.gz"
"77","AGQ380","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_G2_AGQ380-H1-P15.mzML.gz"
"78","AGQ988","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_G3_AGQ988-H1-P23.mzML.gz"
"79","AGQ496","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_G4_AGQ496-H1-P31.mzML.gz"
"80","AGP983","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_G5_AGP983-H1-P39.mzML.gz"
"81","AGO003","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_G6_AGO003-b-H1-P47.mzML.gz"
"82","AGP502","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_G7_AGP502-H1-P55.mzML.gz"
"83","AGQ996","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_G8_AGQ996-H1-P63.mzML.gz"
"84","AGP583","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_G9_AGP583-H1-P71.mzML.gz"
"85","AGP513","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_H10_AGP513-H1-P80.mzML.gz"
"86","AGN785","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_H11_AGN785-H1-P88.mzML.gz"
"87","b","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_H12_b-H1-P96.mzML.gz"
"88","AGN991","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_H1_AGN991-H1-P8.mzML.gz"
"89","AGQ634","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_H2_AGQ634-H1-P16.mzML.gz"
"90","AGQ498","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_H3_AGQ498-H1-P24.mzML.gz"
"91","AGQ378","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_H4_AGQ378-H1-P32.mzML.gz"
"92","AGQ379","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_H5_AGQ379-H1-P40.mzML.gz"
"93","AGO498","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_H6_AGO498-b-H1-P48.mzML.gz"
"94","AGQ627","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_H7_AGQ627-H1-P56.mzML.gz"
"95","AGP515","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_H8_AGP515-H1-P64.mzML.gz"
"96","AGQ070","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_H9_AGQ070-H1-P72.mzML.gz"
"97","AGQ994","/srv/gsfs0/projects/snyder/sahadi/hPOP/082917_H2_Plasma_8ug_A1_AGQ994-P1-d-H2-Plasma001.mzML.gz"
"98","AGQ991","/srv/gsfs0/projects/snyder/sahadi/hPOP/082917_H2_Plasma_8ug_A2_AGQ991-P1-H2-Plasma009.mzML.gz"
"99","1-016","/srv/gsfs0/projects/snyder/sahadi/hPOP/082917_H2_Plasma_8ug_A3_1-016-6-03-H2-Plasma017.mzML.gz"
"100","1-032","/srv/gsfs0/projects/snyder/sahadi/hPOP/082917_H2_Plasma_8ug_A4_1-032-6-03-b-H2-Plasma025.mzML.gz"
"101","1-041","/srv/gsfs0/projects/snyder/sahadi/hPOP/mzML_files/082917_H2_Plasma_8ug_A5_1-041-6-03-H2-Plasma033.mzML.gz"
"102","AGP992","/srv/gsfs0/projects/snyder/sahadi/hPOP/082917_H2_Plasma_8ug_B1_AGP992-P1-b-H2-Plasma002.mzML.gz"
"103","1-04","/srv/gsfs0/projects/snyder/sahadi/hPOP/082917_H2_Plasma_8ug_B2_1-04-6-03-H2-Plasma010.mzML.gz"
"104","1-017","/srv/gsfs0/projects/snyder/sahadi/hPOP/082917_H2_Plasma_8ug_B3_1-017-6-03-H2-Plasma018.mzML.gz"
"105","1-033","/srv/gsfs0/projects/snyder/sahadi/hPOP/mzML_files/082917_H2_Plasma_8ug_B4_1-033-6-03-d-H2-Plasma026.mzML.gz"
"106","1-01","/srv/gsfs0/projects/snyder/sahadi/hPOP/mzML_files/082917_H2_Plasma_8ug_B5_1-01-6-03-H2-Plasma034.mzML.gz"
"107","AGO499","/srv/gsfs0/projects/snyder/sahadi/hPOP/082917_H2_Plasma_8ug_C1_AGO499-P1-H2-Plasma003.mzML.gz"
"108","1-06","/srv/gsfs0/projects/snyder/sahadi/hPOP/082917_H2_Plasma_8ug_C2_1-06-6-03-H2-Plasma011.mzML.gz"
"109","1-018","/srv/gsfs0/projects/snyder/sahadi/hPOP/082917_H2_Plasma_8ug_C3_1-018-6-03-H2-Plasma019.mzML.gz"
"110","1-034","/srv/gsfs0/projects/snyder/sahadi/hPOP/082917_H2_Plasma_8ug_C4_1-034-6-03-H2-Plasma027.mzML.gz"
"111","1-02","/srv/gsfs0/projects/snyder/sahadi/hPOP/mzML_files/082917_H2_Plasma_8ug_C5_1-02-6-03-H2-Plasma035.mzML.gz"
"112","AGQ501","/srv/gsfs0/projects/snyder/sahadi/hPOP/082917_H2_Plasma_8ug_D1_AGQ501-P1-H2-Plasma004.mzML.gz"
"113","1-07","/srv/gsfs0/projects/snyder/sahadi/hPOP/082917_H2_Plasma_8ug_D2_1-07-6-03-H2-Plasma012.mzML.gz"
"114","1-028","/srv/gsfs0/projects/snyder/sahadi/hPOP/082917_H2_Plasma_8ug_D3_1-028-6-03-H2-Plasma020.mzML.gz"
"115","1-036","/srv/gsfs0/projects/snyder/sahadi/hPOP/082917_H2_Plasma_8ug_D4_1-036-6-03-H2-Plasma028.mzML.gz"
"116","6-03","/srv/gsfs0/projects/snyder/sahadi/hPOP/mzML_files/082917_H2_Plasma_8ug_D5_6-03-6-03-H2-Plasma036.mzML.gz"
"117","AGQ071","/srv/gsfs0/projects/snyder/sahadi/hPOP/082917_H2_Plasma_8ug_E1_AGQ071-P1-H2-Plasma005.mzML.gz"
"118","1-08","/srv/gsfs0/projects/snyder/sahadi/hPOP/mzML_files/082917_H2_Plasma_8ug_E2_1-08-6-03-H2-Plasma013.mzML.gz"
"119","1-029","/srv/gsfs0/projects/snyder/sahadi/hPOP/mzML_files/082917_H2_Plasma_8ug_E3_1-029-6-03-b-H2-Plasma021.mzML.gz"
"120","1-035","/srv/gsfs0/projects/snyder/sahadi/hPOP/mzML_files/082917_H2_Plasma_8ug_E4_1-035-6-03-H2-Plasma029.mzML.gz"
"121","1-05","/srv/gsfs0/projects/snyder/sahadi/hPOP/mzML_files/082917_H2_Plasma_8ug_E5_1-05-11-02-H2-Plasma037.mzML.gz"
"122","AGQ005","/srv/gsfs0/projects/snyder/sahadi/hPOP/mzML_files/082917_H2_Plasma_8ug_F1_AGQ005-P1-H2-Plasma006.mzML.gz"
"123","1-09","/srv/gsfs0/projects/snyder/sahadi/hPOP/mzML_files/082917_H2_Plasma_8ug_F2_1-09-6-03-H2-Plasma014.mzML.gz"
"124","1-020","/srv/gsfs0/projects/snyder/sahadi/hPOP/mzML_files/082917_H2_Plasma_8ug_F3_1-020-6-03-b-H2-Plasma022.mzML.gz"
"125","1-037","/srv/gsfs0/projects/snyder/sahadi/hPOP/mzML_files/082917_H2_Plasma_8ug_F4_1-037-6-03-H2-Plasma030.mzML.gz"
"126","1-013","/srv/gsfs0/projects/snyder/sahadi/hPOP/mzML_files/082917_H2_Plasma_8ug_F5_1-013-6-03-H2-Plasma038.mzML.gz"
"127","AGN990","/srv/gsfs0/projects/snyder/sahadi/hPOP/mzML_files/082917_H2_Plasma_8ug_G1_AGN990-P1-H2-Plasma007.mzML.gz"
"128","1-011","/srv/gsfs0/projects/snyder/sahadi/hPOP/082917_H2_Plasma_8ug_G2_1-011-6-03-H2-Plasma015.mzML.gz"
"129","1-030","/srv/gsfs0/projects/snyder/sahadi/hPOP/082917_H2_Plasma_8ug_G3_1-030-6-03-b-H2-Plasma023.mzML.gz"
"130","1-038","/srv/gsfs0/projects/snyder/sahadi/hPOP/082917_H2_Plasma_8ug_G4_1-038-6-03-H2-Plasma031.mzML.gz"
"131","1-015","/srv/gsfs0/projects/snyder/sahadi/hPOP/mzML_files/082917_H2_Plasma_8ug_G5_1-015-6-031-H2-Plasma039.mzML.gz"
"132","AGN501","/srv/gsfs0/projects/snyder/sahadi/hPOP/082917_H2_Plasma_8ug_H1_AGN501-P1-H2-Plasma008.mzML.gz"
"133","1-012","/srv/gsfs0/projects/snyder/sahadi/hPOP/082917_H2_Plasma_8ug_H2_1-012-6-03-H2-Plasma016.mzML.gz"
"134","1-031","/srv/gsfs0/projects/snyder/sahadi/hPOP/082917_H2_Plasma_8ug_H3_1-031-6-03-b-H2-Plasma024.mzML.gz"
"135","1-039","/srv/gsfs0/projects/snyder/sahadi/hPOP/082917_H2_Plasma_8ug_H4_1-039-6-03-H2-Plasma032.mzML.gz"
"136","1-019","/srv/gsfs0/projects/snyder/sahadi/hPOP/mzML_files/082917_H2_Plasma_8ug_H5_1-019-6-03-H2-Plasma040.mzML.gz"
